"committee","motiondate","motionname_ch","motionname_en","mover","movertype","motionresult","andrewleung","jamesto","leungyiuchung","abrahamshek","tommycheung","josephlee","jeffreylam","wongtingkwong","starrylee","chanhakkan","chankinpor","priscillaleung","wongkwokkin","reginaip","paultse","leungkwokhung","claudiamo","michaeltien","stevenho","frankieyick","wuchiwai","yiusiwing","mafungkwok","charlespetermok","chanchichuen","chanhanpan","leungchecheung","kennethleung","alicemak","kwokkaki","kwokwaikeung","denniskwok","christophercheung","fernandocheung","helenawong","ipkinyuen","elizabethquat","martinliao","poonsiuping","chianglaiwan","lowaikwok","chungkwokpan","alvinyeung","andrewwan","chuhoidick","jimmyng","juniusho","hokaiming","lamcheukting","holdenchow","shiukafai","shiukachun","wilsonor","yunghoiyan","pierrechan","chanchunying","tanyachan","cheungkwokkwan","huichifung","lukchunghung","laukwokfan","kennethlau","chengchungtai","kwongchunyu","jeremytam","nathanlaw","yiuchungyim","lausiulai","sixtusleung","yauwaiching","garyfan","aunokhin","vincentcheng","tonytse","chanhoiyan","eddiechu"
"council",2019-04-04,"張超雄議員對麥美娟議員就「要求政府解決民生‘三座大山’」所提，經郭偉强議員、何啟明議員及陸頌雄議員修正的議案，作出的修正案","amendment by dr hon fernando cheung to hon alice mak's motion on “requesting the government to overcome the ‘three big mountains’ in people’s livelihood” as amended by hon kwok wai-keung, hon ho kai-ming and hon luk chung-hung","fernandocheung","member","negatived","present","yes","yes","absent","absent","absent","no","no","no","no","no","no","abstain","no","absent",NA,"yes","no","no","no","yes","no","absent","yes","yes","no","absent","absent","abstain","yes","abstain","yes","no","yes","yes","yes","no","absent","abstain","absent","no","no","yes","yes","yes","no","absent","abstain","yes","no","no","yes","no","no","yes","no","absent","no","yes","abstain","no","absent","yes","absent","yes",NA,NA,NA,NA,NA,"yes","yes","no","absent","no",NA
"council",2019-04-04,"朱凱廸議員對麥美娟議員就「要求政府解決民生‘三座大山’」所提，經郭偉强議員、何啟明議員及陸頌雄議員修正的議案，作出的修正案","amendment by hon chu hoi-dick to hon alice mak's motion on “requesting the government to overcome the ‘three big mountains’ in people’s livelihood” as amended by hon kwok wai-keung, hon ho kai-ming and hon luk chung-hung","chuhoidick","member","negatived","present","yes","yes","absent","absent","absent","no","no","no","no","no","no","no","no","absent",NA,"yes","no","no","no","yes","no","absent","yes","yes","no","absent","absent","no","yes","no","yes","no","yes","yes","yes","no","absent","no","absent","no","no","yes","yes","yes","no","no","no","yes","no","no","yes","no","no","yes","no","absent","no","yes","no","no","absent","yes","absent","yes",NA,NA,NA,NA,NA,"yes","yes","no","absent","no",NA
"council",2019-04-04,"區諾軒議員對麥美娟議員就「要求政府解決民生‘三座大山’」所提，經郭偉强議員、何啟明議員及陸頌雄議員修正的議案，作出的修正案","amendment by hon au nok-hin to hon alice mak's motion on “requesting the government to overcome the ‘three big mountains’ in people’s livelihood” as amended by hon kwok wai-keung, hon ho kai-ming and hon luk chung-hung","aunokhin","member","passed","present","yes","yes","absent","absent","absent","no","yes","yes","yes","no","no","yes","no","absent",NA,"yes","abstain","yes","no","yes","no","absent","yes","yes","yes","absent","absent","yes","yes","yes","yes","no","yes","yes","yes","yes","absent","yes","absent","no","no","yes","yes","yes","no","no","yes","yes","yes","no","yes","yes","no","yes","abstain","absent","yes","yes","yes","yes","absent","yes","absent","yes",NA,NA,NA,NA,NA,"yes","yes","yes","absent","yes",NA
"council",2019-04-04,"麥美娟議員動議，經郭偉强議員、何啟明議員、陸頌雄議員及區諾軒議員修正的「要求政府解決民生‘三座大山’」議案","motion moved by hon alice mak on “requesting the government to overcome the ‘three big mountains’ in people’s livelihood” as amended by hon kwok wai-keung, hon ho kai-ming, hon luk chung-hung and hon au nok-hin","alicemak","member","passed","present","yes","yes","absent","absent","yes","no","yes","yes","yes","abstain","abstain","yes","abstain","absent",NA,"yes","yes","yes","no","yes","no","absent","yes","yes","yes","absent","absent","yes","yes","yes","yes","yes","yes","yes","yes","yes","absent","yes","absent","no","no","yes","yes","yes","no","yes","yes","yes","yes","no","yes","yes","abstain","yes","abstain","absent","yes","yes","yes","yes","absent","yes","yes","yes",NA,NA,NA,NA,NA,"yes","yes","yes","absent","yes",NA
"council",2019-05-08,"《2019年撥款條例草案》 - 二讀","appropriation bill 2019 - second reading","financialsecretary","publicofficer","passed","present","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes",NA,"no","yes","yes","yes","no","yes","yes","yes","no","yes","yes","yes","yes","absent","yes","absent","yes","no","absent","absent","yes","absent","yes","yes","yes","absent","absent","absent","no","yes","yes","yes","no","yes","yes","absent","yes","yes","yes","yes","absent","yes","no","yes","yes","yes","no","no","no",NA,NA,NA,NA,NA,"no","no","yes","yes","yes",NA
"council",2019-05-08,"《2019年撥款條例草案》 - 全體委員會審議 - 總目23至28、30、31、37、39、45、46、48、59、62、78、80、94、100、106、114、116、120、121、136、155、160、166、169、173、174、184及188的款額納入附表","appropriation bill 2019 - consideration by committee of the whole council - the sums for heads 23 to 28, 30, 31, 37, 39, 45, 46, 48, 59, 62, 78, 80, 94, 100, 106, 114, 116, 120, 121, 136, 155, 160, 166, 169, 173, 174, 184 and 188 stand part of the schedule","financialsecretary","publicofficer","passed","present","absent","no","yes","absent","yes","yes","yes","yes","yes","yes","yes","yes","yes","absent",NA,"absent","yes","yes","yes","no","yes","yes","yes","no","yes","yes","absent","yes","no","yes","absent","absent","no","no","no","yes","yes","yes","yes","yes","absent","no","no","no","yes","yes","yes","no","yes","yes","absent","yes","yes","absent","yes","absent","yes","absent","yes","yes","yes","no","no","no",NA,NA,NA,NA,NA,"no","no","yes","yes","absent",NA
"council",2019-05-16,"《2019年撥款條例草案》 - 全體委員會審議 - 總目21的修正案 (修正案編號1)","appropriation bill 2019 - consideration by committee of the whole council - amendment to head 21 (amendment no. 1)","wuchiwai","member","negatived","present","absent","yes","absent","no","yes","absent","no","no","no","no","no","absent","no","no",NA,"yes","absent","no","no","yes","no","absent","yes","yes","no","no","absent","no","yes","no","absent","no","yes","absent","yes","no","no","no","no","no","abstain","absent","absent","yes","no","absent","absent","yes","no","no","absent","no","no","no","no","absent","no","yes","no","no","absent","yes","yes","yes",NA,NA,NA,NA,NA,"yes","absent","absent","no","no",NA
"council",2019-05-16,"縮短點名表決響鐘時間的議案","motion to shorten duration of division bell","starrylee","member","passed","present","absent","no","absent","yes","no","absent","yes","yes","yes","yes","yes","absent","yes","yes",NA,"no","absent","yes","yes","no","yes","absent","no","no","yes","yes","no","yes","no","yes","absent","yes","no","absent","no","yes","yes","yes","yes","yes","yes","absent","absent","no","yes","absent","absent","no","yes","yes","absent","yes","yes","no","yes","absent","yes","no","yes","yes","absent","no","no","no",NA,NA,NA,NA,NA,"no","absent","absent","yes","yes",NA
"council",2019-05-16,"《2019年撥款條例草案》 - 全體委員會審議 - 總目22的修正案 (修正案編號2)","appropriation bill 2019 - consideration by committee of the whole council - amendment to head 22 (amendment no. 2)","kwongchunyu","member","negatived","present","absent","yes","absent","no","yes","absent","no","no","absent","no","no","absent","no","no",NA,"yes","absent","no","no","yes","no","absent","yes","yes","no","no","yes","no","yes","no","absent","no","yes","absent","yes","no","no","no","no","no","no","absent","absent","yes","no","absent","absent","yes","no","no","absent","no","no","yes","no","absent","no","yes","no","no","absent","yes","yes","yes",NA,NA,NA,NA,NA,"yes","absent","absent","no","abstain",NA
"council",2019-05-16,"《2019年撥款條例草案》 - 全體委員會審議 - 總目33的修正案 (修正案編號3)","appropriation bill 2019 - consideration by committee of the whole council - amendment to head 33 (amendment no. 3)","chuhoidick","member","negatived","present","absent","yes","absent","no","yes","absent","no","no","no","no","no","no","no","no",NA,"absent","absent","no","no","abstain","no","absent","no","yes","no","no","no","no","yes","no","absent","no","yes","absent","yes","no","no","no","no","no","no","yes","absent","yes","no","absent","no","abstain","no","no","absent","no","no","no","no","absent","no","abstain","no","no","absent","yes","abstain","yes",NA,NA,NA,NA,NA,"yes","absent","absent","no","no",NA
"council",2019-05-16,"《2019年撥款條例草案》 - 全體委員會審議 - 總目42的修正案 (修正案編號4)","appropriation bill 2019 - consideration by committee of the whole council - amendment to head 42 (amendment no. 4)","chanchichuen","member","negatived","present","absent","yes","absent","no","yes","absent","no","no","no","no","no","no","no","no",NA,"absent","absent","no","no","abstain","no","absent","no","yes","no","no","no","no","abstain","no","absent","no","yes","absent","yes","no","no","no","no","no","no","abstain","absent","yes","no","absent","no","abstain","no","no","absent","no","no","no","no","absent","no","abstain","no","no","absent","yes","abstain","abstain",NA,NA,NA,NA,NA,"yes","absent","absent","no","no",NA
"council",2019-05-16,"《2019年撥款條例草案》 - 全體委員會審議 - 總目47的修正案 (修正案編號6)","appropriation bill 2019 - consideration by committee of the whole council - amendment to head 47 (amendment no. 6)","chanchichuen","member","negatived","present","absent","yes","absent","no","yes","absent","no","no","no","no","no","no","no","no",NA,"absent","absent","no","no","abstain","no","absent","no","yes","no","no","no","no","abstain","no","absent","no","yes","absent","yes","no","no","no","no","no","no","abstain","absent","yes","no","absent","no","abstain","no","no","absent","no","no","yes","no","absent","no","abstain","no","no","absent","yes","abstain","abstain",NA,NA,NA,NA,NA,"yes","yes","absent","no","no",NA
