"committee","motiondate","motionname_ch","motionname_en","mover","movertype","motionresult","andrewleung","jamesto","leungyiuchung","abrahamshek","tommycheung","josephlee","jeffreylam","wongtingkwong","starrylee","chanhakkan","chankinpor","priscillaleung","wongkwokkin","reginaip","paultse","leungkwokhung","claudiamo","michaeltien","stevenho","frankieyick","wuchiwai","yiusiwing","mafungkwok","charlespetermok","chanchichuen","chanhanpan","leungchecheung","kennethleung","alicemak","kwokkaki","kwokwaikeung","denniskwok","christophercheung","fernandocheung","helenawong","ipkinyuen","elizabethquat","martinliao","poonsiuping","chianglaiwan","lowaikwok","chungkwokpan","alvinyeung","andrewwan","chuhoidick","jimmyng","juniusho","hokaiming","lamcheukting","holdenchow","shiukafai","shiukachun","wilsonor","yunghoiyan","pierrechan","chanchunying","tanyachan","cheungkwokkwan","huichifung","lukchunghung","laukwokfan","kennethlau","chengchungtai","kwongchunyu","jeremytam","nathanlaw","yiuchungyim","lausiulai","sixtusleung","yauwaiching","garyfan","aunokhin","vincentcheng","tonytse","chanhoiyan","eddiechu"
"council",2018-05-10,"《2018年撥款條例草案》 - 全體委員會審議 - 總目28的修正案 (修正案編號5)","appropriation bill 2018 - consideration by committee of the whole council - amendment to head 28 (amendment no. 5)","chanchichuen","member","negatived","present","abstain","yes","no","no","absent","no","no","no","no","no","no","no","no","absent",NA,"yes","no","no","no","absent","no","no","abstain","yes","absent","no","abstain","absent","yes","no","absent","no","absent","abstain","abstain","no","absent","no","no","no","no","absent","abstain","yes","no","no","no","abstain","no","no","yes","no","no","absent","no","yes","no","abstain","no","no","absent","yes","abstain","yes",NA,NA,NA,NA,NA,"yes","yes","no","no",NA,NA
"council",2018-05-10,"《2018年撥款條例草案》 - 全體委員會審議 - 總目30的修正案 (修正案編號6)","appropriation bill 2018 - consideration by committee of the whole council - amendment to head 30 (amendment no. 6)","chanchichuen","member","negatived","present","abstain","yes","no","no","absent","no","no","no","no","no","no","no","no","absent",NA,"yes","no","no","no","absent","no","no","abstain","yes","absent","no","abstain","absent","yes","no","absent","no","absent","abstain","abstain","no","absent","no","no","no","no","absent","abstain","yes","no","no","no","abstain","no","no","yes","no","no","absent","no","yes","no","abstain","no","no","absent","yes","abstain","yes",NA,NA,NA,NA,NA,"yes","yes","no","no",NA,NA
"council",2018-05-10,"《2018年撥款條例草案》 - 全體委員會審議 - 總目30的修正案 (修正案編號7)","appropriation bill 2018 - consideration by committee of the whole council - amendment to head 30 (amendment no. 7)","aunokhin","member","negatived","present","abstain","yes","no","no","absent","no","no","no","no","no","no","no","no","absent",NA,"yes","no","no","no","abstain","no","no","abstain","yes","absent","no","abstain","absent","abstain","no","absent","no","absent","abstain","abstain","no","absent","no","no","no","no","absent","abstain","yes","no","no","no","abstain","no","no","abstain","no","no","yes","no","abstain","no","abstain","no","no","absent","yes","abstain","abstain",NA,NA,NA,NA,NA,"yes","abstain","no","no",NA,NA
"council",2018-05-10,"《2018年撥款條例草案》 - 全體委員會審議 - 總目30的修正案 (修正案編號8)","appropriation bill 2018 - consideration by committee of the whole council - amendment to head 30 (amendment no. 8)","aunokhin","member","negatived","present","abstain","yes","no","no","absent","no","no","no","no","no","no","no","no","absent",NA,"yes","no","no","no","abstain","no","no","abstain","yes","absent","no","abstain","absent","abstain","no","absent","no","absent","abstain","abstain","no","absent","no","no","no","no","absent","abstain","yes","no","no","no","abstain","no","no","abstain","no","no","no","no","abstain","no","abstain","no","no","absent","yes","abstain","abstain",NA,NA,NA,NA,NA,"yes","abstain","no","no",NA,NA
"council",2018-05-10,"《2018年撥款條例草案》 - 全體委員會審議 - 總目33的修正案 (修正案編號9)","appropriation bill 2018 - consideration by committee of the whole council - amendment to head 33 (amendment no. 9)","chuhoidick","member","negatived","present","abstain","yes","no","no","absent","no","no","no","no","no","no","no","no","absent",NA,"yes","no","no","no","abstain","no","no","abstain","yes","absent","no","abstain","absent","yes","no","absent","no","absent","abstain","abstain","no","absent","no","no","no","no","absent","abstain","yes","no","no","no","abstain","no","no","yes","no","no","no","no","yes","no","abstain","no","no","absent","yes","abstain","yes",NA,NA,NA,NA,NA,"yes","yes","no","no",NA,NA
"council",2018-05-10,"《2018年撥款條例草案》 - 全體委員會審議 - 總目44的修正案 (修正案編號10)","appropriation bill 2018 - consideration by committee of the whole council - amendment to head 44 (amendment no. 10)","chanchichuen","member","negatived","present","abstain","yes","no","no","absent","no","no","no","no","no","no","no","no","absent",NA,"yes","no","no","no","absent","no","no","abstain","yes","absent","no","abstain","absent","yes","no","absent","no","absent","abstain","abstain","no","absent","no","no","no","no","absent","abstain","yes","no","no","no","abstain","no","no","abstain","no","no","no","no","yes","no","abstain","no","no","absent","yes","abstain","yes",NA,NA,NA,NA,NA,"yes","yes","no","no",NA,NA
"council",2018-05-10,"《2018年撥款條例草案》 - 全體委員會審議 - 總目44的修正案 (修正案編號11)","appropriation bill 2018 - consideration by committee of the whole council - amendment to head 44 (amendment no. 11)","garyfan","member","negatived","present","abstain","yes","no","no","absent","no","no","no","no","no","no","no","no","absent",NA,"yes","no","no","no","abstain","no","no","no","yes","absent","no","no","absent","yes","no","absent","no","absent","abstain","abstain","no","absent","no","no","no","no","absent","abstain","yes","no","no","no","abstain","no","no","abstain","no","no","no","no","yes","no","abstain","no","no","absent","yes","abstain","yes",NA,NA,NA,NA,NA,"yes","yes","no","no",NA,NA
"council",2018-05-10,"《2018年撥款條例草案》 - 全體委員會審議 - 總目47的修正案 (修正案編號12)","appropriation bill 2018 - consideration by committee of the whole council - amendment to head 47 (amendment no. 12)","chanchichuen","member","negatived","present","abstain","yes","no","no","absent","no","no","no","no","no","no","no","no","absent",NA,"yes","no","no","no","abstain","no","no","no","yes","absent","no","no","absent","yes","no","absent","no","absent","abstain","abstain","no","absent","no","no","no","no","absent","abstain","yes","no","no","no","abstain","no","no","yes","no","no","abstain","no","yes","no","abstain","no","no","absent","yes","abstain","yes",NA,NA,NA,NA,NA,"yes","yes","no","no",NA,NA
"council",2018-05-10,"《2018年撥款條例草案》 - 全體委員會審議 - 總目49的修正案 (修正案編號13)","appropriation bill 2018 - consideration by committee of the whole council - amendment to head 49 (amendment no. 13)","aunokhin","member","negatived","present","yes","yes","no","no","absent","no","no","no","no","no","no","no","no","absent",NA,"yes","no","no","no","yes","no","no","no","yes","absent","no","no","absent","abstain","no","absent","no","absent","yes","yes","no","no","no","no","no","no","absent","yes","yes","no","no","no","yes","no","no","abstain","no","no","no","no","abstain","no","yes","no","no","absent","yes","yes","abstain",NA,NA,NA,NA,NA,"yes","yes","no","no",NA,NA
"council",2018-05-10,"《2018年撥款條例草案》 - 全體委員會審議 - 總目51的修正案 (修正案編號14)","appropriation bill 2018 - consideration by committee of the whole council - amendment to head 51 (amendment no. 14)","chanchichuen","member","negatived","present","abstain","yes","absent","no","absent","no","no","no","no","no","no","no","no","absent",NA,"yes","no","no","no","abstain","no","no","abstain","yes","absent","no","abstain","absent","yes","no","absent","no","absent","abstain","abstain","no","no","no","no","no","no","absent","abstain","yes","no","no","no","abstain","no","no","abstain","no","no","no","no","yes","no","abstain","no","no","absent","yes","abstain","yes",NA,NA,NA,NA,NA,"yes","yes","no","no",NA,NA
"council",2018-05-10,"《2018年撥款條例草案》 - 全體委員會審議 - 總目53的修正案 (修正案編號15)","appropriation bill 2018 - consideration by committee of the whole council - amendment to head 53 (amendment no. 15)","aunokhin","member","negatived","present","abstain","yes","no","no","absent","no","no","no","no","no","no","no","no","absent",NA,"yes","no","no","no","abstain","no","no","abstain","yes","absent","no","abstain","absent","yes","no","absent","no","absent","abstain","abstain","no","no","no","no","no","no","absent","abstain","yes","no","no","no","abstain","no","absent","yes","no","no","abstain","no","yes","no","abstain","no","no","absent","yes","abstain","yes",NA,NA,NA,NA,NA,"yes","yes","no","no",NA,NA
"council",2018-05-10,"《2018年撥款條例草案》 - 全體委員會審議 - 總目53的修正案 (修正案編號16)","appropriation bill 2018 - consideration by committee of the whole council - amendment to head 53 (amendment no. 16)","andrewwan","member","negatived","present","yes","yes","no","no","absent","no","no","no","no","no","no","no","no","absent",NA,"yes","no","no","no","yes","no","no","yes","yes","absent","no","abstain","absent","yes","no","absent","no","absent","yes","yes","no","no","no","no","no","no","absent","yes","yes","no","no","no","yes","no","no","yes","no","no","no","no","yes","no","yes","no","no","absent","yes","yes","yes",NA,NA,NA,NA,NA,"yes","yes","no","no",NA,NA
"council",2018-05-10,"《2018年撥款條例草案》 - 全體委員會審議 - 總目53的修正案 (修正案編號17)","appropriation bill 2018 - consideration by committee of the whole council - amendment to head 53 (amendment no. 17)","aunokhin","member","negatived","present","absent","yes","no","no","absent","no","no","no","no","no","no","no","no","absent",NA,"yes","no","no","no","abstain","no","no","abstain","yes","absent","no","abstain","absent","yes","no","absent","no","absent","abstain","abstain","no","no","no","no","no","no","absent","abstain","yes","no","no","no","abstain","no","no","abstain","no","no","abstain","no","yes","no","abstain","no","no","absent","yes","abstain","yes",NA,NA,NA,NA,NA,"yes","yes","no","no",NA,NA
"council",2018-05-10,"《2018年撥款條例草案》 - 全體委員會審議 - 總目55的修正案 (修正案編號18)","appropriation bill 2018 - consideration by committee of the whole council - amendment to head 55 (amendment no. 18)","chanchichuen","member","negatived","present","absent","yes","no","no","absent","no","no","no","no","no","no","no","no","absent",NA,"yes","no","no","no","abstain","no","no","no","yes","absent","no","no","no","yes","no","absent","no","absent","absent","no","no","no","no","no","no","no","absent","absent","yes","no","no","no","abstain","no","no","abstain","no","no","abstain","no","yes","no","abstain","no","no","absent","yes","abstain","yes",NA,NA,NA,NA,NA,"yes","yes","no","no",NA,NA
"council",2018-05-10,"《2018年撥款條例草案》 - 全體委員會審議 - 總目60的修正案 (修正案編號19)","appropriation bill 2018 - consideration by committee of the whole council - amendment to head 60 (amendment no. 19)","chanchichuen","member","negatived","present","abstain","yes","no","no","absent","no","no","no","no","no","no","no","no","absent",NA,"yes","no","no","no","abstain","no","no","abstain","yes","absent","no","abstain","no","yes","no","absent","no","absent","absent","abstain","no","no","no","no","no","no","absent","absent","yes","no","no","no","abstain","no","no","yes","no","no","no","no","yes","no","abstain","no","no","absent","yes","abstain","yes",NA,NA,NA,NA,NA,"yes","yes","no","no",NA,NA
"council",2018-05-10,"《2018年撥款條例草案》 - 全體委員會審議 - 總目70的修正案 (修正案編號20)","appropriation bill 2018 - consideration by committee of the whole council - amendment to head 70 (amendment no. 20)","chanchichuen","member","negatived","present","no","yes","no","no","absent","no","no","no","no","no","no","no","no","absent",NA,"absent","no","no","no","no","no","no","no","yes","absent","no","no","no","absent","no","absent","no","absent","absent","no","no","no","no","no","no","no","absent","absent","yes","no","no","no","no","no","no","abstain","no","no","no","no","abstain","no","no","no","no","absent","yes","no","abstain",NA,NA,NA,NA,NA,"abstain","yes","no","no",NA,NA
"council",2018-05-10,"《2018年撥款條例草案》 - 全體委員會審議 - 總目72的修正案 (修正案編號21)","appropriation bill 2018 - consideration by committee of the whole council - amendment to head 72 (amendment no. 21)","chanchichuen","member","negatived","present","yes","yes","no","no","absent","no","no","no","no","no","no","no","no","absent",NA,"absent","no","no","no","yes","no","no","no","yes","absent","no","abstain","no","yes","absent","absent","no","absent","absent","yes","no","no","no","no","no","no","absent","absent","yes","no","absent","no","yes","no","no","yes","no","no","abstain","no","yes","no","yes","no","no","absent","yes","yes","yes",NA,NA,NA,NA,NA,"yes","yes","no","no",NA,NA
"council",2018-05-10,"《2018年撥款條例草案》 - 全體委員會審議 - 總目72的修正案 (修正案編號22)","appropriation bill 2018 - consideration by committee of the whole council - amendment to head 72 (amendment no. 22)","lamcheukting","member","negatived","present","yes","yes","no","no","absent","no","no","no","no","no","no","no","no","absent",NA,"absent","no","no","no","yes","no","no","yes","yes","absent","no","abstain","no","yes","no","absent","no","absent","absent","yes","no","no","no","no","no","no","absent","absent","yes","no","no","no","yes","no","no","yes","no","no","no","no","yes","no","yes","no","no","absent","yes","yes","yes",NA,NA,NA,NA,NA,"yes","yes","no","no",NA,NA
"council",2018-05-10,"《2018年撥款條例草案》 - 全體委員會審議 - 總目74的修正案 (修正案編號23)","appropriation bill 2018 - consideration by committee of the whole council - amendment to head 74 (amendment no. 23)","chanchichuen","member","negatived","present","abstain","yes","no","no","absent","no","no","no","no","no","no","absent","no","absent",NA,"yes","no","no","no","abstain","no","no","abstain","yes","absent","no","abstain","no","yes","no","absent","no","absent","absent","abstain","no","no","no","no","no","no","absent","absent","yes","no","no","no","abstain","no","no","abstain","no","no","abstain","no","yes","no","abstain","no","no","absent","yes","abstain","yes",NA,NA,NA,NA,NA,"yes","abstain","no","no",NA,NA
"council",2018-05-10,"《2018年撥款條例草案》 - 全體委員會審議 - 總目76的修正案 (修正案編號24)","appropriation bill 2018 - consideration by committee of the whole council - amendment to head 76 (amendment no. 24)","chanchichuen","member","negatived","present","absent","yes","no","no","absent","no","no","no","no","no","no","no","no","absent",NA,"yes","no","no","no","abstain","no","no","no","yes","no","no","no","no","yes","no","absent","no","absent","absent","abstain","no","no","no","no","no","no","absent","absent","yes","no","no","no","abstain","no","no","abstain","no","no","yes","no","yes","no","abstain","no","no","absent","yes","abstain","yes",NA,NA,NA,NA,NA,"abstain","yes","no","no",NA,NA
"council",2018-05-10,"《2018年撥款條例草案》 - 全體委員會審議 - 總目79的修正案 (修正案編號25)","appropriation bill 2018 - consideration by committee of the whole council - amendment to head 79 (amendment no. 25)","chanchichuen","member","negatived","present","abstain","yes","no","no","absent","no","no","no","no","no","no","no","no","absent",NA,"yes","no","no","no","abstain","no","no","no","yes","no","no","abstain","no","abstain","no","absent","no","absent","absent","abstain","no","no","no","no","no","no","absent","absent","yes","no","no","no","abstain","no","no","abstain","no","no","no","no","abstain","no","abstain","no","no","absent","yes","abstain","abstain",NA,NA,NA,NA,NA,"abstain","yes","no","no",NA,NA
"council",2018-05-10,"《2018年撥款條例草案》 - 全體委員會審議 - 總目82的修正案 (修正案編號26)","appropriation bill 2018 - consideration by committee of the whole council - amendment to head 82 (amendment no. 26)","aunokhin","member","negatived","present","yes","yes","no","no","absent","no","no","no","no","no","no","no","no","absent",NA,"yes","no","no","no","yes","no","no","no","yes","no","no","no","no","abstain","no","absent","no","absent","absent","yes","no","no","no","no","no","no","absent","absent","yes","no","no","no","yes","no","no","yes","no","no","no","no","abstain","no","yes","no","no","absent","yes","yes","abstain",NA,NA,NA,NA,NA,"yes","yes","no","no",NA,NA
"council",2018-05-10,"《2018年撥款條例草案》 - 全體委員會審議 - 總目90的修正案 (修正案編號27)","appropriation bill 2018 - consideration by committee of the whole council - amendment to head 90 (amendment no. 27)","chanchichuen","member","negatived","present","no","yes","no","no","absent","no","no","no","no","no","no","no","no","absent",NA,"yes","no","no","no","no","no","no","no","yes","no","no","no","no","abstain","no","absent","no","absent","absent","no","no","no","no","no","no","no","absent","absent","yes","no","no","no","no","no","no","yes","no","no","no","no","abstain","no","no","absent","no","absent","yes","no","abstain",NA,NA,NA,NA,NA,"abstain","yes","no","no",NA,NA
"council",2018-05-10,"《2018年撥款條例草案》 - 全體委員會審議 - 總目91的修正案 (修正案編號28)","appropriation bill 2018 - consideration by committee of the whole council - amendment to head 91 (amendment no. 28)","chanchichuen","member","negatived","present","no","yes","no","no","absent","no","no","no","no","no","no","no","no","absent",NA,"yes","no","no","no","no","no","no","no","yes","no","no","abstain","no","abstain","no","absent","no","absent","absent","no","no","no","no","no","no","no","absent","absent","yes","no","no","no","no","no","no","yes","no","no","no","no","abstain","no","no","no","no","absent","yes","absent","absent",NA,NA,NA,NA,NA,"abstain","yes","no","no",NA,NA
"council",2018-05-10,"《2018年撥款條例草案》 - 全體委員會審議 - 總目92的修正案 (修正案編號29)","appropriation bill 2018 - consideration by committee of the whole council - amendment to head 92 (amendment no. 29)","chanchichuen","member","negatived","present","yes","yes","no","no","absent","no","no","no","no","no","no","no","no","absent",NA,"yes","absent","no","no","yes","no","no","abstain","yes","no","no","abstain","absent","absent","no","absent","present","absent","absent","abstain","no","no","no","no","no","no","absent","absent","yes","no","no","no","yes","no","no","yes","no","no","no","no","abstain","no","yes","no","no","absent","yes","absent","abstain",NA,NA,NA,NA,NA,"yes","yes","no","no",NA,NA
"council",2018-05-10,"《2018年撥款條例草案》 - 全體委員會審議 - 總目92的修正案 (修正案編號30)","appropriation bill 2018 - consideration by committee of the whole council - amendment to head 92 (amendment no. 30)","chanchichuen","member","negatived","present","abstain","yes","no","no","absent","no","no","no","no","no","no","no","no","absent",NA,"yes","no","no","no","absent","no","no","abstain","yes","no","no","abstain","absent","abstain","no","absent","no","absent","absent","abstain","no","no","no","no","no","no","absent","absent","yes","no","no","no","abstain","no","no","abstain","no","no","no","no","abstain","no","abstain","no","no","absent","yes","abstain","abstain",NA,NA,NA,NA,NA,"yes","yes","no","no",NA,NA
"council",2018-05-10,"《2018年撥款條例草案》 - 全體委員會審議 - 總目96的修正案 (修正案編號31)","appropriation bill 2018 - consideration by committee of the whole council - amendment to head 96 (amendment no. 31)","chanchichuen","member","negatived","present","abstain","yes","no","no","absent","no","no","no","no","no","no","no","no","absent",NA,"yes","no","no","no","absent","no","no","no","yes","no","no","no","absent","abstain","no","absent","no","absent","absent","absent","no","no","no","no","absent","no","absent","absent","yes","no","no","no","abstain","no","absent","abstain","no","no","abstain","no","absent","no","abstain","no","no","absent","yes","abstain","abstain",NA,NA,NA,NA,NA,"abstain","yes","no","no",NA,NA
"council",2018-05-10,"《2018年撥款條例草案》 - 全體委員會審議 - 總目118的修正案 (修正案編號32)","appropriation bill 2018 - consideration by committee of the whole council - amendment to head 118 (amendment no. 32)","chuhoidick","member","negatived","present","abstain","yes","no","no","absent","no","no","no","no","no","absent","no","no","absent",NA,"yes","absent","no","no","absent","no","no","abstain","yes","no","no","abstain","absent","abstain","no","absent","no","absent","absent","absent","no","no","no","no","no","no","absent","absent","yes","no","no","no","abstain","no","no","yes","no","no","no","no","absent","no","abstain","no","no","absent","yes","abstain","abstain",NA,NA,NA,NA,NA,"yes","yes","no","no",NA,NA
"council",2018-05-10,"《2018年撥款條例草案》 - 全體委員會審議 - 總目118的修正案 (修正案編號33)","appropriation bill 2018 - consideration by committee of the whole council - amendment to head 118 (amendment no. 33)","chuhoidick","member","negatived","present","abstain","yes","no","no","absent","no","no","no","no","no","absent","no","no","absent",NA,"yes","no","no","no","absent","no","no","abstain","yes","no","no","abstain","absent","yes","no","absent","no","absent","absent","absent","no","no","no","no","no","no","absent","absent","yes","no","no","no","abstain","no","no","yes","no","no","yes","no","yes","no","abstain","no","no","absent","yes","abstain","yes",NA,NA,NA,NA,NA,"yes","yes","no","no",NA,NA
"council",2018-05-10,"《2018年撥款條例草案》 - 全體委員會審議 - 總目122的修正案 (修正案編號34)","appropriation bill 2018 - consideration by committee of the whole council - amendment to head 122 (amendment no. 34)","aunokhin","member","negatived","present","abstain","yes","no","no","absent","no","no","no","no","no","absent","no","no","absent",NA,"yes","no","no","no","abstain","no","no","abstain","yes","absent","no","abstain","absent","abstain","no","absent","no","absent","absent","absent","no","no","no","no","no","no","absent","absent","yes","no","no","no","abstain","no","no","abstain","no","no","no","no","abstain","no","abstain","no","no","absent","yes","abstain","abstain",NA,NA,NA,NA,NA,"yes","yes","no","no",NA,NA
"council",2018-05-10,"《2018年撥款條例草案》 - 全體委員會審議 - 總目122的修正案 (修正案編號35)","appropriation bill 2018 - consideration by committee of the whole council - amendment to head 122 (amendment no. 35)","jamesto","member","negatived","present","yes","yes","no","no","absent","no","no","no","no","no","no","no","no","absent",NA,"yes","no","no","no","yes","no","no","abstain","yes","no","no","abstain","absent","yes","no","absent","no","absent","absent","absent","no","no","no","no","no","no","absent","absent","yes","no","no","no","yes","no","no","yes","no","no","no","no","yes","no","yes","no","no","absent","yes","yes","yes",NA,NA,NA,NA,NA,"yes","yes","no","no",NA,NA
"council",2018-05-10,"《2018年撥款條例草案》 - 全體委員會審議 - 總目122的修正案 (修正案編號36)","appropriation bill 2018 - consideration by committee of the whole council - amendment to head 122 (amendment no. 36)","chanchichuen","member","negatived","present","yes","yes","no","no","absent","no","no","no","no","no","no","no","no","absent",NA,"yes","absent","no","no","yes","no","no","yes","yes","no","no","abstain","absent","yes","no","absent","no","absent","absent","absent","no","no","no","no","no","no","absent","absent","yes","no","no","no","yes","no","no","yes","no","no","no","no","yes","no","yes","no","no","absent","yes","yes","yes",NA,NA,NA,NA,NA,"yes","yes","no","no",NA,NA
"council",2018-05-10,"《2018年撥款條例草案》 - 全體委員會審議 - 總目122的修正案 (修正案編號38)","appropriation bill 2018 - consideration by committee of the whole council - amendment to head 122 (amendment no. 38)","chanchichuen","member","negatived","present","absent","yes","no","no","absent","no","no","no","no","no","no","no","absent","absent",NA,"yes","no","no","no","yes","no","no","yes","yes","no","no","yes","absent","yes","no","absent","no","absent","absent","absent","no","no","no","no","no","no","absent","absent","yes","no","no","no","yes","no","no","yes","no","no","abstain","no","yes","no","yes","no","no","absent","yes","yes","yes",NA,NA,NA,NA,NA,"yes","yes","no","no",NA,NA
"council",2018-05-10,"《2018年撥款條例草案》 - 全體委員會審議 - 總目135的修正案 (修正案編號39)","appropriation bill 2018 - consideration by committee of the whole council - amendment to head 135 (amendment no. 39)","chanchichuen","member","negatived","present","absent","yes","no","no","absent","no","no","no","no","no","no","no","absent","absent",NA,"yes","no","no","no","abstain","no","no","no","yes","no","no","yes","absent","yes","no","absent","no","absent","absent","absent","no","no","no","no","no","no","absent","absent","yes","no","no","no","abstain","no","no","yes","no","no","yes","no","yes","no","abstain","no","no","no","yes","abstain","yes",NA,NA,NA,NA,NA,"yes","yes","no","no",NA,NA
"council",2018-05-10,"《2018年撥款條例草案》 - 全體委員會審議 - 總目135的修正案 (修正案編號40)","appropriation bill 2018 - consideration by committee of the whole council - amendment to head 135 (amendment no. 40)","aunokhin","member","negatived","present","absent","yes","no","no","absent","no","no","no","absent","no","no","no","no","absent",NA,"yes","no","no","no","abstain","no","no","no","yes","no","no","abstain","absent","yes","no","absent","no","absent","absent","absent","no","no","no","no","no","no","absent","absent","yes","no","no","no","abstain","no","no","yes","no","no","no","no","yes","no","abstain","no","no","no","yes","abstain","yes",NA,NA,NA,NA,NA,"yes","yes","no","no",NA,NA
"council",2018-05-10,"《2018年撥款條例草案》 - 全體委員會審議 - 總目137的修正案 (修正案編號41)","appropriation bill 2018 - consideration by committee of the whole council - amendment to head 137 (amendment no. 41)","chuhoidick","member","negatived","present","absent","yes","no","no","absent","no","no","no","absent","no","no","no","no","absent",NA,"yes","no","no","no","abstain","no","no","abstain","yes","no","no","abstain","absent","yes","no","absent","no","absent","absent","absent","no","no","no","no","no","no","absent","absent","yes","no","no","no","abstain","no","no","abstain","no","no","no","no","yes","no","abstain","no","no","no","yes","abstain","yes",NA,NA,NA,NA,NA,"yes","yes","no","no",NA,NA
"council",2018-05-10,"《2018年撥款條例草案》 - 全體委員會審議 - 總目138的修正案 (修正案編號42)","appropriation bill 2018 - consideration by committee of the whole council - amendment to head 138 (amendment no. 42)","chanchichuen","member","negatived","present","absent","yes","no","no","absent","no","no","no","no","no","no","no","no","absent",NA,"yes","no","no","no","no","no","no","no","yes","no","no","abstain","absent","abstain","no","absent","no","absent","no","absent","no","no","no","no","no","no","absent","absent","yes","no","no","no","no","no","no","no","no","no","no","no","abstain","no","no","no","no","no","yes","no","abstain",NA,NA,NA,NA,NA,"yes","abstain","no","no",NA,NA
"council",2018-05-10,"《2018年撥款條例草案》 - 全體委員會審議 - 總目139的修正案 (修正案編號43)","appropriation bill 2018 - consideration by committee of the whole council - amendment to head 139 (amendment no. 43)","chanchichuen","member","negatived","present","absent","yes","no","no","absent","no","no","absent","no","no","no","no","no","absent",NA,"yes","no","no","no","no","no","no","no","yes","no","no","no","absent","abstain","no","absent","no","absent","no","absent","no","no","no","no","no","no","absent","absent","yes","no","no","no","no","no","no","abstain","no","no","no","no","abstain","no","no","no","no","no","yes","no","abstain",NA,NA,NA,NA,NA,"abstain","abstain","no","no",NA,NA
"council",2018-05-10,"《2018年撥款條例草案》 - 全體委員會審議 - 總目139的修正案 (修正案編號44)","appropriation bill 2018 - consideration by committee of the whole council - amendment to head 139 (amendment no. 44)","helenawong","member","negatived","present","absent","yes","no","no","absent","no","no","absent","no","no","no","no","no","absent",NA,"yes","no","no","no","yes","no","no","abstain","yes","no","no","abstain","absent","yes","no","absent","no","absent","yes","absent","no","no","no","no","no","no","absent","absent","yes","no","no","no","yes","no","no","abstain","no","no","abstain","no","yes","no","yes","no","no","no","yes","yes","yes",NA,NA,NA,NA,NA,"yes","yes","no","no",NA,NA
"council",2018-05-10,"《2018年撥款條例草案》 - 全體委員會審議 - 總目141的修正案 (修正案編號45)","appropriation bill 2018 - consideration by committee of the whole council - amendment to head 141 (amendment no. 45)","chanchichuen","member","negatived","present","absent","yes","no","no","absent","no","no","no","no","absent","no","no","no","absent",NA,"yes","no","no","no","no","no","no","no","yes","no","no","no","absent","abstain","no","absent","no","absent","no","absent","no","no","no","no","no","no","absent","absent","yes","no","no","no","no","no","absent","no","no","no","no","no","abstain","no","absent","no","no","no","yes","no","abstain",NA,NA,NA,NA,NA,"yes","abstain","no","no",NA,NA
"council",2018-05-10,"《2018年撥款條例草案》 - 全體委員會審議 - 總目143的修正案 (修正案編號47)","appropriation bill 2018 - consideration by committee of the whole council - amendment to head 143 (amendment no. 47)","chanchichuen","member","negatived","present","absent","yes","no","no","absent","no","no","no","no","absent","no","no","no","absent",NA,"yes","no","no","no","absent","no","no","yes","yes","no","no","yes","absent","yes","no","absent","no","absent","abstain","absent","no","no","no","no","no","no","absent","absent","yes","no","no","no","abstain","no","no","yes","no","no","no","no","yes","no","absent","no","no","no","yes","abstain","yes",NA,NA,NA,NA,NA,"yes","yes","no","no",NA,NA
"council",2018-05-10,"《2018年撥款條例草案》 - 全體委員會審議 - 總目144的修正案 (修正案編號48)","appropriation bill 2018 - consideration by committee of the whole council - amendment to head 144 (amendment no. 48)","chuhoidick","member","negatived","present","absent","yes","no","no","absent","no","no","no","no","absent","no","no","no","absent",NA,"yes","no","no","no","absent","no","no","abstain","yes","no","no","no","absent","yes","no","absent","no","absent","no","absent","no","no","no","no","no","no","absent","absent","yes","no","no","no","no","no","no","abstain","no","no","no","no","yes","no","no","no","no","no","yes","no","yes",NA,NA,NA,NA,NA,"yes","yes","no","no",NA,NA
"council",2018-05-10,"《2018年撥款條例草案》 - 全體委員會審議 - 總目144的修正案 (修正案編號49)","appropriation bill 2018 - consideration by committee of the whole council - amendment to head 144 (amendment no. 49)","aunokhin","member","negatived","present","absent","yes","no","no","absent","no","no","no","no","no","no","no","no","absent",NA,"yes","no","no","no","absent","no","no","abstain","yes","no","no","no","absent","abstain","no","absent","no","absent","abstain","absent","no","no","no","no","no","no","absent","absent","yes","no","no","no","abstain","no","no","yes","no","no","no","no","abstain","no","abstain","no","no","no","yes","abstain","abstain",NA,NA,NA,NA,NA,"yes","yes","no","no",NA,NA
"council",2018-05-10,"《2018年撥款條例草案》 - 全體委員會審議 - 總目148的修正案 (修正案編號50)","appropriation bill 2018 - consideration by committee of the whole council - amendment to head 148 (amendment no. 50)","chanchichuen","member","negatived","present","absent","yes","no","no","absent","no","no","no","no","no","no","no","no","absent",NA,"yes","no","no","no","absent","no","no","no","yes","no","no","no","absent","yes","no","absent","no","absent","abstain","absent","no","no","no","no","no","no","absent","absent","yes","no","no","no","abstain","no","no","abstain","no","no","no","no","yes","no","abstain","no","no","no","yes","abstain","yes",NA,NA,NA,NA,NA,"yes","yes","no","no",NA,NA
